Сайт,Упоминания,Уникальные запросы,Суммарная частота,Средняя частота,Brand запросы,Category запросы,Comparative запросы,Advisory запросы,Diapers запросы,Shampoos запросы,Упоминания в P&G запросах,Упоминания в конкурентных запросах,Упоминания в marketplace запросах,% от всех упоминаний,% от всех запросов,% от всей частоты,% brand запросов,% category запросов,% comparative запросов,% advisory запросов,% diapers запросов,% shampoos запросов
burdastyle.ru,1,1,54000,54000.0,0,0,0,1,0,1,0,0,1,0.1,0.83,0.23,0.0,0.0,0.0,3.33,0.0,1.67
catalog.onliner.by,1,1,54000,54000.0,0,0,1,0,1,0,0,1,1,0.1,0.83,0.23,0.0,0.0,3.33,0.0,1.67,0.0
paradpomad.ru,1,1,54000,54000.0,0,0,0,1,0,1,0,0,1,0.1,0.83,0.23,0.0,0.0,0.0,3.33,0.0,1.67
the-challenger.ru,1,1,54000,54000.0,0,0,0,1,0,1,0,0,1,0.1,0.83,0.23,0.0,0.0,0.0,3.33,0.0,1.67
theblueprint.ru,1,1,54000,54000.0,0,0,1,0,0,1,1,1,1,0.1,0.83,0.23,0.0,0.0,3.33,0.0,0.0,1.67
vfokuse.mail.ru,1,1,54000,54000.0,0,0,0,1,0,1,0,0,1,0.1,0.83,0.23,0.0,0.0,0.0,3.33,0.0,1.67
ru.ruwiki.ru,1,1,51000,51000.0,0,0,1,0,1,0,1,0,1,0.1,0.83,0.22,0.0,0.0,3.33,0.0,1.67,0.0
sportmaster.ru,1,1,51000,51000.0,0,0,1,0,1,0,1,0,1,0.1,0.83,0.22,0.0,0.0,3.33,0.0,1.67,0.0
tersportspb.ru,1,1,51000,51000.0,0,0,1,0,1,0,1,0,1,0.1,0.83,0.22,0.0,0.0,3.33,0.0,1.67,0.0
beautyinsider.ru,1,1,48000,48000.0,0,0,0,1,0,1,0,1,1,0.1,0.83,0.21,0.0,0.0,0.0,3.33,0.0,1.67
bytovaya-himiya.ru,1,1,48000,48000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.21,0.0,0.0,3.33,0.0,0.0,1.67
i-gency.ru,1,1,48000,48000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.21,0.0,0.0,3.33,0.0,0.0,1.67
lofficiel.directory,1,1,48000,48000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.21,0.0,0.0,3.33,0.0,0.0,1.67
pokupella.ru,1,1,48000,48000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.21,0.0,0.0,3.33,0.0,0.0,1.67
sovsekretno.ru,1,1,48000,48000.0,0,0,0,1,0,1,0,1,1,0.1,0.83,0.21,0.0,0.0,0.0,3.33,0.0,1.67
relationshipblog.co.in,1,1,45000,45000.0,0,0,1,0,0,1,1,1,1,0.1,0.83,0.19,0.0,0.0,3.33,0.0,0.0,1.67
aromacode.ru,1,1,43000,43000.0,0,0,0,1,0,1,0,1,1,0.1,0.83,0.18,0.0,0.0,0.0,3.33,0.0,1.67
beautery.ru,1,1,43000,43000.0,0,0,0,1,0,1,0,1,1,0.1,0.83,0.18,0.0,0.0,0.0,3.33,0.0,1.67
boucle-style.com,1,1,41000,41000.0,0,0,1,0,0,1,0,1,1,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
byrdie.com,1,1,43000,43000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
c9m.ru,1,1,43000,43000.0,0,0,0,1,1,0,0,0,0,0.1,0.83,0.18,0.0,0.0,0.0,3.33,1.67,0.0
cgemo-istra.ru,1,1,43000,43000.0,0,0,0,1,1,0,0,0,0,0.1,0.83,0.18,0.0,0.0,0.0,3.33,1.67,0.0
evitastore.ru,1,1,43000,43000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
forma.eapteka.ru,1,1,43000,43000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
gkeratin.ru,1,1,43000,43000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
hair.ru,1,1,43000,43000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
kosmetika.moscow,1,1,43000,43000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
lianakl.ru,1,1,43000,43000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
medlen.by,1,1,43000,43000.0,0,0,0,1,1,0,0,0,0,0.1,0.83,0.18,0.0,0.0,0.0,3.33,1.67,0.0
my7days.ru,1,1,43000,43000.0,0,0,0,1,0,1,0,1,1,0.1,0.83,0.18,0.0,0.0,0.0,3.33,0.0,1.67
news.rambler.ru,1,1,43000,43000.0,0,0,0,1,0,1,0,1,1,0.1,0.83,0.18,0.0,0.0,0.0,3.33,0.0,1.67
pro-cosmetik.ru,1,1,43000,43000.0,0,0,0,1,0,1,0,1,1,0.1,0.83,0.18,0.0,0.0,0.0,3.33,0.0,1.67
ryazan.kp.ru,1,1,43000,43000.0,0,0,0,1,1,0,0,0,0,0.1,0.83,0.18,0.0,0.0,0.0,3.33,1.67,0.0
sergeenko.by,1,1,43000,43000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
vichy.ru,1,1,43000,43000.0,0,0,1,0,0,1,0,0,0,0.1,0.83,0.18,0.0,0.0,3.33,0.0,0.0,1.67
vitaexpress.ru,1,1,43000,43000.0,0,0,0,1,1,0,0,0,0,0.1,0.83,0.18,0.0,0.0,0.0,3.33,1.67,0.0
alerana.ru,1,1,38000,38000.0,0,0,1,0,0,1,0,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,0.0,1.67
avshop.ru,1,1,38000,38000.0,0,0,1,0,1,0,1,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,1.67,0.0
cosmall.ru,1,1,38000,38000.0,0,0,1,0,0,1,0,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,0.0,1.67
iris56.ru,1,1,38000,38000.0,0,0,1,0,0,1,0,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,0.0,1.67
kz.amway.com,1,1,38000,38000.0,0,0,1,0,0,1,0,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,0.0,1.67
livemaster.ru,1,1,38000,38000.0,0,0,1,0,0,1,0,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,0.0,1.67
mayadioro.ru,1,1,38000,38000.0,0,0,1,0,0,1,0,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,0.0,1.67
otrazhenie-clinic.ru,1,1,38000,38000.0,0,0,0,1,0,1,0,0,0,0.1,0.83,0.16,0.0,0.0,0.0,3.33,0.0,1.67
panda-babyclub.kz,1,1,38000,38000.0,0,0,0,1,1,0,1,1,1,0.1,0.83,0.16,0.0,0.0,0.0,3.33,1.67,0.0
salonclever.ru,1,1,38000,38000.0,0,0,1,0,0,1,0,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,0.0,1.67
sunmag.me,1,1,38000,38000.0,0,0,1,0,0,1,0,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,0.0,1.67
yandex.ru,1,1,38000,38000.0,0,0,1,0,1,0,1,1,0,0.1,0.83,0.16,0.0,0.0,3.33,0.0,1.67,0.0
rskrf.ru,1,1,35000,35000.0,0,0,1,0,0,1,0,1,1,0.1,0.83,0.15,0.0,0.0,3.33,0.0,0.0,1.67
koshmau.livejournal.com,1,1,32000,32000.0,0,0,1,0,1,0,1,1,1,0.1,0.83,0.14,0.0,0.0,3.33,0.0,1.67,0.0
nn.uteka.ru,1,1,32000,32000.0,0,0,1,0,0,1,1,1,1,0.1,0.83,0.14,0.0,0.0,3.33,0.0,0.0,1.67
q.yandex.ru,1,1,32000,32000.0,0,0,1,0,1,0,1,1,1,0.1,0.83,0.14,0.0,0.0,3.33,0.0,1.67,0.0
ru.besuperhygiene.com,1,1,32000,32000.0,0,0,1,0,1,0,1,1,1,0.1,0.83,0.14,0.0,0.0,3.33,0.0,1.67,0.0
spb.akusherstvo.ru,1,1,32000,32000.0,0,0,1,0,1,0,1,1,1,0.1,0.83,0.14,0.0,0.0,3.33,0.0,1.67,0.0
nevozrast.ru,1,1,31000,31000.0,0,0,0,1,1,0,0,1,1,0.1,0.83,0.13,0.0,0.0,0.0,3.33,1.67,0.0
homesklad.ru,1,1,29000,29000.0,0,0,0,1,1,0,0,1,1,0.1,0.83,0.12,0.0,0.0,0.0,3.33,1.67,0.0
kz.huggies.com,1,1,29000,29000.0,0,0,0,1,1,0,0,1,1,0.1,0.83,0.12,0.0,0.0,0.0,3.33,1.67,0.0
mammysun.ru,1,1,27000,27000.0,0,0,1,0,1,0,1,1,1,0.1,0.83,0.12,0.0,0.0,3.33,0.0,1.67,0.0
napkin.tkat.ru,1,1,29000,29000.0,0,0,1,0,1,0,0,1,1,0.1,0.83,0.12,0.0,0.0,3.33,0.0,1.67,0.0
novochag.ru,1,1,29000,29000.0,0,0,0,1,1,0,0,1,1,0.1,0.83,0.12,0.0,0.0,0.0,3.33,1.67,0.0
promkod.ru,1,1,27000,27000.0,0,0,1,0,1,0,1,1,1,0.1,0.83,0.12,0.0,0.0,3.33,0.0,1.67,0.0
t.me,1,1,29000,29000.0,0,0,0,1,1,0,0,1,1,0.1,0.83,0.12,0.0,0.0,0.0,3.33,1.67,0.0
yarportal.ru,1,1,29000,29000.0,0,0,0,1,1,0,0,1,1,0.1,0.83,0.12,0.0,0.0,0.0,3.33,1.67,0.0
