Сайт,Упоминания,Уникальные запросы,Суммарная частота,Средняя частота,Brand запросы,Category запросы,Comparative запросы,Advisory запросы,Diapers запросы,Shampoos запросы,Упоминания в P&G запросах,Упоминания в конкурентных запросах,Упоминания в marketplace запросах,% от всех упоминаний,% от всех запросов,% от всей частоты,% brand запросов,% category запросов,% comparative запросов,% advisory запросов,% diapers запросов,% shampoos запросов
letu.ru,6,6,710000,118333.33,1,1,1,3,0,6,0,4,4,0.62,5.0,3.04,3.33,3.33,3.33,10.0,0.0,10.0
selencin.ru,5,5,669000,133800.0,0,2,0,3,0,5,0,0,2,0.52,4.17,2.87,0.0,6.67,0.0,10.0,0.0,8.33
avito.ru,3,3,660000,220000.0,2,1,0,0,1,2,1,1,1,0.31,2.5,2.83,6.67,3.33,0.0,0.0,1.67,3.33
otvet.mail.ru,13,13,659000,50692.31,0,0,12,1,4,9,6,11,6,1.35,10.83,2.82,0.0,0.0,40.0,3.33,6.67,15.0
parfum-lider.ru,2,2,640000,320000.0,2,0,0,0,2,0,0,2,2,0.21,1.67,2.74,6.67,0.0,0.0,0.0,3.33,0.0
thevoicemag.ru,6,6,636000,106000.0,0,1,1,4,0,6,0,3,1,0.62,5.0,2.73,0.0,3.33,3.33,13.33,0.0,10.0
hair-market.ru,2,2,620000,310000.0,0,2,0,0,0,2,0,0,0,0.21,1.67,2.66,0.0,6.67,0.0,0.0,0.0,3.33
клиар.рф,4,4,607000,151750.0,2,0,0,2,0,4,0,0,1,0.42,3.33,2.6,6.67,0.0,0.0,6.67,0.0,6.67
poryadok.ru,2,2,590000,295000.0,2,0,0,0,0,2,0,0,0,0.21,1.67,2.53,6.67,0.0,0.0,0.0,0.0,3.33
sima-land.ru,7,7,574000,82000.0,0,0,3,4,4,3,4,4,4,0.73,5.83,2.46,0.0,0.0,10.0,13.33,6.67,5.0
perekrestok.ru,2,2,550000,275000.0,1,1,0,0,2,0,1,0,2,0.21,1.67,2.36,3.33,3.33,0.0,0.0,3.33,0.0
cdek.shopping,2,2,530000,265000.0,2,0,0,0,1,1,2,0,2,0.21,1.67,2.27,6.67,0.0,0.0,0.0,1.67,1.67
online.globus.ru,2,2,525000,262500.0,0,2,0,0,2,0,1,1,2,0.21,1.67,2.25,0.0,6.67,0.0,0.0,3.33,0.0
akusherstvo.ru,6,6,485000,80833.33,0,0,1,5,5,1,2,2,3,0.62,5.0,2.08,0.0,0.0,3.33,16.67,8.33,1.67
nutrilak.com,6,6,465000,77500.0,0,0,1,5,5,1,2,3,2,0.62,5.0,1.99,0.0,0.0,3.33,16.67,8.33,1.67
esteticshop.ru,6,4,439000,73166.67,0,0,0,6,0,6,0,3,2,0.62,3.33,1.88,0.0,0.0,0.0,20.0,0.0,10.0
